name	type	source	detector	wavelength_nominal	units
S1-D1-760.0	MISC	S1	D1	760.0	AU
S1-D6-760.0	MISC	S1	D6	760.0	AU
S1-D17-760.0	MISC	S1	D17	760.0	AU
S2-D1-760.0	MISC	S2	D1	760.0	AU
S2-D2-760.0	MISC	S2	D2	760.0	AU
S2-D7-760.0	MISC	S2	D7	760.0	AU
S2-D18-760.0	MISC	S2	D18	760.0	AU
S3-D2-760.0	MISC	S3	D2	760.0	AU
S3-D3-760.0	MISC	S3	D3	760.0	AU
S3-D8-760.0	MISC	S3	D8	760.0	AU
S4-D3-760.0	MISC	S4	D3	760.0	AU
S4-D4-760.0	MISC	S4	D4	760.0	AU
S4-D9-760.0	MISC	S4	D9	760.0	AU
S4-D19-760.0	MISC	S4	D19	760.0	AU
S5-D4-760.0	MISC	S5	D4	760.0	AU
S5-D5-760.0	MISC	S5	D5	760.0	AU
S5-D10-760.0	MISC	S5	D10	760.0	AU
S6-D5-760.0	MISC	S6	D5	760.0	AU
S6-D11-760.0	MISC	S6	D11	760.0	AU
S6-D20-760.0	MISC	S6	D20	760.0	AU
S7-D1-760.0	MISC	S7	D1	760.0	AU
S7-D6-760.0	MISC	S7	D6	760.0	AU
S7-D7-760.0	MISC	S7	D7	760.0	AU
S7-D12-760.0	MISC	S7	D12	760.0	AU
S8-D2-760.0	MISC	S8	D2	760.0	AU
S8-D7-760.0	MISC	S8	D7	760.0	AU
S8-D8-760.0	MISC	S8	D8	760.0	AU
S8-D13-760.0	MISC	S8	D13	760.0	AU
S9-D3-760.0	MISC	S9	D3	760.0	AU
S9-D8-760.0	MISC	S9	D8	760.0	AU
S9-D9-760.0	MISC	S9	D9	760.0	AU
S9-D14-760.0	MISC	S9	D14	760.0	AU
S10-D4-760.0	MISC	S10	D4	760.0	AU
S10-D9-760.0	MISC	S10	D9	760.0	AU
S10-D10-760.0	MISC	S10	D10	760.0	AU
S10-D15-760.0	MISC	S10	D15	760.0	AU
S11-D5-760.0	MISC	S11	D5	760.0	AU
S11-D10-760.0	MISC	S11	D10	760.0	AU
S11-D11-760.0	MISC	S11	D11	760.0	AU
S11-D16-760.0	MISC	S11	D16	760.0	AU
S12-D6-760.0	MISC	S12	D6	760.0	AU
S12-D12-760.0	MISC	S12	D12	760.0	AU
S12-D21-760.0	MISC	S12	D21	760.0	AU
S13-D7-760.0	MISC	S13	D7	760.0	AU
S13-D12-760.0	MISC	S13	D12	760.0	AU
S13-D13-760.0	MISC	S13	D13	760.0	AU
S14-D8-760.0	MISC	S14	D8	760.0	AU
S14-D13-760.0	MISC	S14	D13	760.0	AU
S14-D14-760.0	MISC	S14	D14	760.0	AU
S14-D22-760.0	MISC	S14	D22	760.0	AU
S15-D9-760.0	MISC	S15	D9	760.0	AU
S15-D14-760.0	MISC	S15	D14	760.0	AU
S15-D15-760.0	MISC	S15	D15	760.0	AU
S16-D10-760.0	MISC	S16	D10	760.0	AU
S16-D15-760.0	MISC	S16	D15	760.0	AU
S16-D16-760.0	MISC	S16	D16	760.0	AU
S16-D23-760.0	MISC	S16	D23	760.0	AU
S17-D11-760.0	MISC	S17	D11	760.0	AU
S17-D16-760.0	MISC	S17	D16	760.0	AU
S17-D24-760.0	MISC	S17	D24	760.0	AU
S1-D1-850.0	MISC	S1	D1	850.0	AU
S1-D6-850.0	MISC	S1	D6	850.0	AU
S1-D17-850.0	MISC	S1	D17	850.0	AU
S2-D1-850.0	MISC	S2	D1	850.0	AU
S2-D2-850.0	MISC	S2	D2	850.0	AU
S2-D7-850.0	MISC	S2	D7	850.0	AU
S2-D18-850.0	MISC	S2	D18	850.0	AU
S3-D2-850.0	MISC	S3	D2	850.0	AU
S3-D3-850.0	MISC	S3	D3	850.0	AU
S3-D8-850.0	MISC	S3	D8	850.0	AU
S4-D3-850.0	MISC	S4	D3	850.0	AU
S4-D4-850.0	MISC	S4	D4	850.0	AU
S4-D9-850.0	MISC	S4	D9	850.0	AU
S4-D19-850.0	MISC	S4	D19	850.0	AU
S5-D4-850.0	MISC	S5	D4	850.0	AU
S5-D5-850.0	MISC	S5	D5	850.0	AU
S5-D10-850.0	MISC	S5	D10	850.0	AU
S6-D5-850.0	MISC	S6	D5	850.0	AU
S6-D11-850.0	MISC	S6	D11	850.0	AU
S6-D20-850.0	MISC	S6	D20	850.0	AU
S7-D1-850.0	MISC	S7	D1	850.0	AU
S7-D6-850.0	MISC	S7	D6	850.0	AU
S7-D7-850.0	MISC	S7	D7	850.0	AU
S7-D12-850.0	MISC	S7	D12	850.0	AU
S8-D2-850.0	MISC	S8	D2	850.0	AU
S8-D7-850.0	MISC	S8	D7	850.0	AU
S8-D8-850.0	MISC	S8	D8	850.0	AU
S8-D13-850.0	MISC	S8	D13	850.0	AU
S9-D3-850.0	MISC	S9	D3	850.0	AU
S9-D8-850.0	MISC	S9	D8	850.0	AU
S9-D9-850.0	MISC	S9	D9	850.0	AU
S9-D14-850.0	MISC	S9	D14	850.0	AU
S10-D4-850.0	MISC	S10	D4	850.0	AU
S10-D9-850.0	MISC	S10	D9	850.0	AU
S10-D10-850.0	MISC	S10	D10	850.0	AU
S10-D15-850.0	MISC	S10	D15	850.0	AU
S11-D5-850.0	MISC	S11	D5	850.0	AU
S11-D10-850.0	MISC	S11	D10	850.0	AU
S11-D11-850.0	MISC	S11	D11	850.0	AU
S11-D16-850.0	MISC	S11	D16	850.0	AU
S12-D6-850.0	MISC	S12	D6	850.0	AU
S12-D12-850.0	MISC	S12	D12	850.0	AU
S12-D21-850.0	MISC	S12	D21	850.0	AU
S13-D7-850.0	MISC	S13	D7	850.0	AU
S13-D12-850.0	MISC	S13	D12	850.0	AU
S13-D13-850.0	MISC	S13	D13	850.0	AU
S14-D8-850.0	MISC	S14	D8	850.0	AU
S14-D13-850.0	MISC	S14	D13	850.0	AU
S14-D14-850.0	MISC	S14	D14	850.0	AU
S14-D22-850.0	MISC	S14	D22	850.0	AU
S15-D9-850.0	MISC	S15	D9	850.0	AU
S15-D14-850.0	MISC	S15	D14	850.0	AU
S15-D15-850.0	MISC	S15	D15	850.0	AU
S16-D10-850.0	MISC	S16	D10	850.0	AU
S16-D15-850.0	MISC	S16	D15	850.0	AU
S16-D16-850.0	MISC	S16	D16	850.0	AU
S16-D23-850.0	MISC	S16	D23	850.0	AU
S17-D11-850.0	MISC	S17	D11	850.0	AU
S17-D16-850.0	MISC	S17	D16	850.0	AU
S17-D24-850.0	MISC	S17	D24	850.0	AU
